from_movie_id,to_movie_id,sim_cos
10012,10075,0.1250870523601014
10012,10395,0.1131558336128685
10012,49730,0.1080740321987142
10012,360188,0.09426779800212752
10012,1640,0.09067586854839976
10012,258755,0.08657920504826394
10012,282128,0.08073453895229447
10012,31915,0.07904431721456602
10012,42188,0.07746940254475113
10012,522,0.076728548931965
100402,40914,0.11624762546056149
100402,1771,0.11222299982697535
100402,126509,0.10262556371259512
100402,271110,0.08755525378944494
100402,1865,0.08323496490811325
100402,6488,0.08196579656905782
100402,3131,0.0782589460535074
100402,12120,0.07425126477230522
100402,11458,0.07250152986849069
100402,4858,0.07249962026852391
10052,10312,0.1768913109517501
10052,287524,0.1632350205123243
10052,253331,0.11922496150406119
10052,2755,0.10429472853340914
10052,510,0.08181903129271019
10052,8470,0.07518146443208643
10052,244403,0.07431959553840942
10052,11635,0.0741925967217986
10052,17182,0.07399455029417679
10052,28211,0.072633744555418
10068,75986,0.13072246955665828
10068,4960,0.11714767523539928
10068,14181,0.11684350851086948
10068,302,0.11465817650969219
10068,42497,0.11053071047021852
10068,9344,0.1029879451746678
10068,41830,0.09750424941510098
10068,11013,0.09572633427423956
10068,68812,0.08852608799585426
10068,549,0.08092001697911093
10077,166424,0.1510678120968414
10077,30139,0.11127045255718045
10077,38033,0.10929054827074793
10077,13166,0.10183079566377122
10077,1537,0.08877467852240319
10077,13856,0.08517505792372389
10077,6950,0.08128503837903799
10077,112430,0.07986212075913934
10077,10008,0.07768410327594577
10077,14873,0.07303761079388062
10096,1624,0.10663414932281337
10096,10391,0.09294038610913652
10096,10758,0.07933027167356582
10096,122906,0.07830485017899617
10096,10445,0.07478001697739736
10096,115210,0.0706694264044096
10096,82696,0.06987294018396202
10096,77987,0.06781351273218911
10096,311,0.06640110543991017
10096,39451,0.0642120696455165
101179,13569,0.11970502614574428
101179,257344,0.10964188445577007
101179,1946,0.09933692006725321
101179,328387,0.09646061302835308
101179,82654,0.09146876578830951
101179,36557,0.0910945536850528
101179,22970,0.08629382762768924
101179,10069,0.07680123882974259
101179,9563,0.07620051166029565
101179,109091,0.07610010146564232
10133,302699,0.13210649692199197
10133,2057,0.10458055992341353
